id,doi,title,source,year
ILL15BA7061,10.1103/physrevd.91.065002,Reference worldwide model for antineutrinos from reactors,Physical Review D,2015
ILL15BA177,10.1103/physrevlett.114.117601,Evidence for room temperature electric polarization in RMn2O5 multiferroics,Physical Review Letters,2015
ILL15BA345,10.1021/acs.macromol.5b01424,Origin of small-angle scattering from contrast-matched nanoparticles: A study of chain and filler st,Macromolecules,2015
ILL15BA1150,10.1088/1742-6596/663/1/012014,Neutron and synchrotron studies of structure and magnetism of shape memory alloys,Journal of Physics : Conference Series,2015
ILL15BA7067,10.1016/j.phpro.2015.07.054,Wave effect neutron radiographic imaging origins in WCNR and prospects for low cost systems,Physics Procedia,2015
ILL15BA1055,10.1016/j.jssc.2015.03.022,Structure and magnetism of Sr3NiSb2O9,Journal of Solid State Chemistry,2015
ILL15BA1117,10.1038/ncomms9117,Sliding tethered ligands add topological interactions to the toolbox of ligand-receptor design,Nature Communications,2015
ILL15BA289,10.1103/physrevb.91.214415,Magnetic structure and multiferroic coupling in pyroxene NaFeSi2O6,Physical Review B,2015
ILL15BA254,10.1051/epjconf/20159301042,"High precision γ spectroscopy of 69,71Zn from (n, γ) reactions using EXILL",EPJ Web of Conferences,2015
ILL15BA313,10.1103/physrevc.91.047302,Near-yrast excitations in nucleus 83As: Tracing the πg9/2 orbital in the 78Ni region,Physical Review C,2015
ILL15BE339,10.1080/10448632.2015.1057049,The H5 guide system-the latest innovative guide system at the ILL,Neutron News,2015
doc:PUB_ILL:25016,10.1080/10448632.2015.1057049,The H5 guide system—the latest innovative guide system at the ILL,Neutron News,2015
ILL15BE1054,10.1016/j.cis.2015.01.007,Understanding nanoparticle cellular entry: A physicochemical perspective,Advances in Colloid and Interface Science,2015
ILL15BE331,10.1039/c5sm00274e,The component group structure of DPPC bilayers obtained by specular neutron reflectometry,Soft Matter,2015
ILL15BE1084,10.1107/s1600576714024960,High-efficiency diffraction and focusing of X-rays through asymmetric bent crystalline planes,Journal of Applied Crystallography,2015
ILL15BE284,10.1016/j.jallcom.2015.07.034,"Enhanced relative cooling power of Fe-doped La0.67Sr0.22Ba0.11Mn1-xFexO3 perovskites: Structural, ma",Journal of Alloys and Compounds,2015
ILL15BE315,10.1063/1.4930175,Enhancement of magnetoresistance and ferromagnetic coupling in the complex perovskites CaCu3(Mn4-xAl,Journal of Applied Physics,2015
ILL16BE131,10.1039/c5nr04243g,Excitation of Ni nanorod colloids in oscillating magnetic fields: A new approach for nanosensing inv,Nanoscale,2015
doc:PUB_ILL:34404,,Structure and dynamics of POPC bilayers in water solutions of room temperature ionic liquids,The Journal of Chemical Physics,2015
ILL16BE360,10.1038/srep08972,How mobile are protons in the structure of dental glass ionomer cements?,Scientific Reports,2015
ILL15BE306,10.1103/physrevb.91.144414,Consequences of critical interchain couplings and anisotropy on a Haldane chain,Physical Review B,2015
ILL15BE1068,10.1088/2053-1591/2/2/026102,Controlling structural distortion in the geometrically frustrated layered cobaltate YBaCo4O7+δ by Fe,Materials Research Express,2015
ILL16BE6069,10.1038/nnano.2015.27,Light-emitting self-assembled peptide nucleic acids exhibit both stacking interactions and Watson-Cr,Nature Nanotechnology,2015
ILL16BE1016,10.1103/physrevb.92.184431,Separating the ferromagnetic and glassy behavior within the metal-organic magnet Ni(TCNQ)2,Physical Review B,2015
ILL15BE156,10.1051/epjconf/20158302002,QENS investigation of proton confined motions in hydrated perfluorinated sulfonic membranes and self,EPJ Web of Conferences,2015
ILL15BE346,10.1021/acs.macromol.5b00770,Nanostructure and transport properties of proton conducting self-assembled perfluorinated surfactant,Macromolecules,2015
doc:PUB_ILL:25231,10.1021/acs.macromol.5b00770,Nanostructure and Transport Properties of Proton Conducting Self-Assembled Perfluorinated Surfactant,Macromolecules - Benoit H./Rempp P. - Pergamon Press - 1982 - 20.9/44,2015
ILL15BE378,10.1103/physrevb.92.144423,Nd2Sn2O7: An all-in–all-out pyrochlore magnet with no divergence-free field and anomalously slow par,Physical Review B,2015
ILL15BE357,10.1021/acs.langmuir.5b00936,Nanodisc films for membrane protein studies by neutron reflection: Effect of the protein scaffold ch,Langmuir,2015
ILL15BE255,10.1051/epjconf/20159301045,Levels of 186Re populated in thermal neutron capture reaction,EPJ Web of Conferences,2015
ILL15BI2018,,In Situ diffraction studies of electrode materials for Li-ion and Na-ion batteries,,2015
ILL19BI6010,10.1021/acs.chemmater.5b00361,Comprehensive investigation of the Na3V2(PO4)2F3-NaV2(PO4)2F3 system by operando high resolution syn,Chemistry of Materials,2015
ILL16BI178,10.1107/s2052520615017199,Spinel materials for Li-ion batteries: New insights obtained by operando neutron and synchrotron X-r,Acta Crystallographica B,2015
ILL15BI391,10.1088/1748-0221/10/10/p10019,Investigation of background in large-area neutron detectors due to alpha emission from impurities in,Journal of Instrumentation,2015
ILL15BL443,10.1107/s2052252515011239,"Sub-atomic resolution X-ray crystallography and neutron crystallography: Promise, challenges and pot",IUCrJ,2015
ILL15BL250,10.1051/epjconf/20159301015,From EXILL (EXogam at the ILL) to FIPPS (FIssion Product Prompt γ-ray Spectrometer),EPJ Web of Conferences,2015
ILL15BL2005,,"Biochemical, biophysical, and structural studies of a protein complex implicated in the erythrocyte",,2015
ILL20BL6084,10.1088/1742-6596/663/1/012010,Low-energy spin-wave excitations in amplitude-modulated magnetic structure of PrNi2Si2,Journal of Physics : Conference Series,2015
ILL15BL1092,10.1039/c4dt03880k,Synthesis and characterization of the new two-dimensional Heisenberg antiferromagnet double perovski,Dalton Transactions,2015
ILL15BL7073,10.1063/1.4918973,Soft chemical control of the crystal and magnetic structure of a layered mixed valent manganite oxid,APL Materials,2015
ILL15BL319,10.1063/1.4926403,Evidence of large magneto-dielectric effect coupled to a metamagnetic transition in Yb2CoMnO6,Applied Physics Letters,2015
ILL15BO419,10.5506/aphyspolb.46.647,Study of low-spin states in Ca isotopes via neutron capture reactions,Acta Physica Polonica B,2015
ILL15BO343,10.1080/10448632.2015.1057050,ThALES-Three Axis Low Energy Spectroscopy for highly correlated electron systems,Neutron News,2015
ILL15BO6047,10.1016/j.nimb.2015.06.017,Why neutron guides may end up breaking down? Some results on the macroscopic behaviour of alkali-bor,Nuclear Instruments and Methods in Physics Research B,2015
doc:PUB_ILL:25127,10.1103/physrevb.91.220408,Haydeeite: A spin-12kagome ferromagnet,Physical Review B,2015
ILL15BO274,10.1103/physrevb.91.220408,Haydeeite: A spin-12kagome ferromagnet,Physical Review B,2015
ILL15BO6038,10.1007/978-3-642-55315-8_28,Catalyst characterization by XAS and XES spectroscopies: In situ and operando experiments,,2015
ILL15BO120,10.1016/j.jnucmat.2015.02.036,SANS examination of irradiated RPV steel welds during in-situ annealing,Journal of Nuclear Materials,2015
ILL15BO185,10.1103/physrevb.91.094201,Localized Bose-Einstein condensation in disordered liquid 4He films,Physical Review B,2015
ILL15BO123,10.1039/c4sm01705f,Structural heterogeneity of milk casein micelles: A SANS contrast variation study,Soft Matter,2015
ILL15BO6061,10.1063/1.4929950,Entropy change of a Ni45.5Co4.5Mn37In13 single crystal studied by scanning calorimetry in high magne,Applied Physics Letters,2015
ILL15BO322,10.1039/c5cp02900g,From crystal to glass-like thermal conductivity in crystalline minerals,Physical Chemistry Chemical Physics,2015
ILL15BR358,10.1021/acs.inorgchem.5b01205,"Uranium hydridoborates: Synthesis, magnetism, and X-ray/neutron diffraction structures",Inorganic Chemistry,2015
ILL15BR129,10.1016/j.physletb.2014.12.041,A magnetic trap for high-field seeking neutron spin states,Physics Letters B,2015
ILL15BR314,10.1063/1.4931388,Deuterated polyethylene coatings for ultra-cold neutron applications,Applied Physics Letters,2015
ILL15BR157,10.1103/physrevb.91.014431,Polarized neutron powder diffraction studies of antiferromagnetic order in bulk and nanoparticle NiO,Physical Review B,2015
doc:PUB_ILL:25144,,Polarized neutron powder diffraction studies of antiferromagnetic order in bulk and nanoparticle NiO,Physical Review B,2015
ILL15BR6023,10.1088/1757-899x/82/1/012102,Texture gradient in a copper tube at maximum and minimum wall thickness,IOP Conference Series: Materials Science and Engineering,2015
ILL15BR6076,10.1016/j.physletb.2015.09.043,"Lifetime measurements of the first 2+ states in 104,106Zr: Evolution of ground-state deformations",Physics Letters B,2015
ILL15BR1146,10.1051/epjconf/201510401009,Exploring local disorder in fast oxygen ion conductors by atomic pair distribution function analysis,EPJ Web of Conferences,2015
ILL16BR1030,10.1088/0022-3727/48/50/504009,"Local apical oxygen disorder in oxygen rich La2NiO4.18, comparing neutron single crystal and n/X-PDF",Journal of Physics D,2015
ILL15BR1067,10.1063/1.4916604,Laterally patterned spin-valve superlattice: Magnetometry and polarized neutron scattering study,Journal of Applied Physics,2015
ILL15BU394,10.1021/acs.jpclett.5b02092,Unusual dynamics of concentration fluctuations in solutions of weakly attractive globular proteins,Journal of Physical Chemistry Letters,2015
ILL15BU296,10.1103/physrevb.91.035129,Lattice dynamics of the heavy-fermion compound URu2Si2,Physical Review B,2015
ILL15BU349,10.1021/acs.jpcb.5b04000,Proton diffusivity in the protic ionic liquid triethylammonium triflate probed by quasielastic neutr,Journal of Physical Chemistry B,2015
ILL15BU6059,10.1063/1.4928962,Branched conformational properties of macromolecules in close relation to chemical synthesis. I. Unp,Journal of Chemical Physics,2015
ILL15BU6060,10.1063/1.4928963,Branched conformational properties of macromolecules in close relation to chemical synthesis. II. In,Journal of Chemical Physics,2015
ILL15CA431,10.1088/1742-6596/663/1/012006,Crystallization of para-hydrogen: A quantum phase transition at finite temperature?,Journal of Physics : Conference Series,2015
ILL15CA1123,10.1122/1.4929486,The rheology and microstructure of branched micelles under shear,Journal of Rheology,2015
ILL15CA288,10.1021/acs.jpcb.5b02034,Adaptation of extremophilic proteins with temperature and pressure: Evidence from initiation factor,Journal of Physical Chemistry B,2015
doc:PUB_ILL:28947,,Adsorption of Bovine Serum Albumin (BSA) at the Oil/Water Interface: A Neutron Reflection Study,Langmuir,2015
ILL15CA432,10.1021/acs.langmuir.5b03349,"Spread films of human serum albumin at the air-water interface: Optimization, morphology, and durabi",Langmuir,2015
ILL15CA423,10.1088/0953-8984/27/48/485401,Inelastic neutron scattering study of the lattice dynamics in the clathrate compound BaGe5,Journal of Physics Condensed Matter,2015
ILL15CA6003,10.1103/physrevb.91.060402,Spin excitations in the two-dimensional strongly coupled dimer system malachite,Physical Review B,2015
doc:PUB_ILL:25253,,Membrane homeoviscous adaptation in the piezo-hyperthermophilic archaeon Thermococcus barophilus,Frontiers in Microbiology,2015
ILL15CA7001,10.1016/j.pnucene.2013.10.019,The pioneers' legacy of inertial confinement nuclear fusion,Progress in Nuclear Energy,2015
ILL15CA6051,10.1039/c4fd00266k,Chiral habit selection on nanostructured epitaxial quartz films,Faraday Discussions,2015
ILL15CA2009,,Neutron crystallography of a heme peroxidase,,2015
ILL15CA167,10.1016/j.ijhydene.2015.01.067,Structural and electrical characterization of the Co-doped Ca2Fe2O5 brownmillerite: Evaluation as SO,International Journal of Hydrogen Energy,2015
ILL15CA6071,10.1021/acs.jpcc.5b05864,Pulsed-laser switching in the bistability domain of a cooperative spin crossover compound: A critica,Journal of Physical Chemistry C,2015
ILL15CA1064,10.1021/la503870b,Interpolymer complexation: Comparisons of bulk and interfacial structures,Langmuir,2015
ILL15CA2002,,Local structure and dynamics of hydrogen in carbon nano-materials: A neutron scattering and DFT appr,,2015
ILL15CH1106,10.1016/j.pnucene.2015.01.019,Study of the γ-U(Mo) phase decomposition for atomised and ground powders,Progress in Nuclear Energy,2015
ILL15CH1078,10.1107/s1600576715002770,In situ characterization of β′′ precipitation in an Al-Mg-Si alloy by anisotropic small-angle neutro,Journal of Applied Crystallography,2015
ILL15CH04T,10.1080/10448632.2015.1028280,Review of Neutrons et Magnétisme,Neutron News,2015
ILL15CH178,10.1103/physrevb.91.064304,Simple view of the Mg2Si1-xSnx phonon spectrum: Sn resonances and mean field,Physical Review B,2015
doc:PUB_ILL:25302,,Sliding tethered ligands add topological interactions to the toolbox of ligand–receptor design,Nature Communications,2015
ILL15CH175,10.1103/physrevb.91.104412,Anomalous breakdown of Bloch's rule in the Mott-Hubbard insulator MnTe2,Physical Review B,2015
ILL15CH182,10.1103/physrevb.91.054110,Anomalous temperature-induced volume contraction in GeTe,Physical Review B,2015
ILL15CH2011,,Contribution à l'étude de la fission nucléaire : de LOHENGRIN à FIPPS,,2015
ILL16CH138,,Determination of neutron-induced fission fragment spin distribution after neutron evaporation,,2015
ILL15CH1104,10.1016/j.jallcom.2015.08.043,Observation of distinct atomic caging in Ce80Ni20 metallic melts,Journal of Alloys and Compounds,2015
ILL15CH7042,10.1021/acs.langmuir.5b00851,Influence of charge density and ionic strength on the aggregation process of cellulose nanocrystals,Langmuir,2015
doc:PUB_ILL:25262,10.1016/j.cis.2015.03.003,"Co-assembly in chitosan–surfactant mixtures: thermodynamics, structures, interfacial properties and",Advances in Colloid and Interface Science,2015
doc:PUB_ILL:25264,10.1021/am508846r,Toward Bioderived Intelligent Nanocarriers for Controlled Pollutant Recovery and pH-Sensitive Bindin,ACS Applied Materials & Interfaces,2015
ILL15CH6064,10.1039/c5dt01127b,Chemistry and structure by design: Ordered CuNi(CN)4 sheets with copper(ii) in a square-planar envir,Dalton Transactions,2015
ILL15CH1053,10.1016/j.jmatprotec.2015.03.029,Quench induced residual stress prediction in heat treatable 7xxx aluminium alloy thick plates using,Journal of Materials Processing Technology,2015
ILL15CH1101,10.1007/s11837-015-1363-2,Quench-induced stresses in AA2618 forgings for impellers: A multiphysics and multiscale problem,JOM,2015
ILL15CH1091,10.1039/c5sm00554j,Effects of nanoscopic-confinement on polymer dynamics,Soft Matter,2015
ILL15CH237,10.1021/la504932p,Colloidal plastic crystals in a shear field,Langmuir,2015
ILL15CI383,10.1063/1.4932297,"Excitations of one-valence-proton, one-valence-neutron nucleus 210Bi from cold-neutron capture",AIP Conference Proceedings,2015
doc:PUB_ILL:28927,10.1038/nature15265,Controlling neutron orbital angular momentum,Nature,2015
ILL15CO7069,10.1107/s1600576715011243,The macromolecular neutron diffractometer MaNDi at the Spallation Neutron Source,Journal of Applied Crystallography,2015
ILL15CO1096,10.1051/epjconf/20158301001,Collective dynamics of glass-forming polymers at intermediate length scales,EPJ Web of Conferences,2015
ILL15CO293,10.1103/physreve.92.012311,Hydrogen self-dynamics in liquid H2-D2 mixtures studied through inelastic neutron scattering,Physical Review E,2015
ILL15CO1007,10.1016/j.jconrel.2014.12.003,Polymer-doxycycline conjugates as fibril disrupters: An approach towards the treatment of a rare amy,Journal of Controlled Release,2015
ILL15CO7050,10.1016/j.nima.2015.04.037,Experimental characterization of the Advanced Liquid Hydrogen Cold Neutron Source spectrum of the NB,Nuclear Instruments and Methods in Physics Research A,2015
ILL15CO7017,10.1088/0031-8949/90/5/058001,The old and the new: My participation in the development of chemical crystallography during 50+ year,Physica Scripta,2015
ILL15CO265,10.1021/acs.jpcc.5b02173,One-dimensional oxygen diffusion mechanism in Sr2ScGaO5 electrolyte explored by neutron and synchrot,Journal of Physical Chemistry C,2015
ILL15CO1133,10.1021/acs.langmuir.5b01211,Impact of end-tethered polyhedral nanoparticles on the mobility of poly(dimethylsiloxane),Langmuir,2015
ILL15CO1148,10.1021/acs.jpcc.5b07321,Oxidation mechanism of aluminum nanopowders,Journal of Physical Chemistry C,2015
ILL15CO7076,10.1051/epjconf/201510401004,Small angle neutron scattering,EPJ Web of Conferences,2015
ILL15CO7077,10.1051/epjconf/201510401005,Neutron reflectivity,EPJ Web of Conferences,2015
ILL15CR344,10.1080/10448632.2015.1057051,"D16 is back to business: More neutrons, more space, more fun",Neutron News,2015
ILL15CR6090,10.1155/2015/173572,Can we observe the gravitational quantum states of positronium?,Advances in High Energy Physics,2015
ILL16CR2006,,Frequency measurements testing Newton's Gravity Law with the Rabi-qBounce experiment,,2015
ILL15CR6018,10.1063/1.4906224,Annealing effect on the magnetic induced austenite transformation in polycrystalline freestanding Ni,Journal of Applied Physics,2015
ILL15CR375,10.1103/physrevb.92.134206,Origin of the first sharp diffraction peak in glasses,Physical Review B,2015
ILL15CU401,10.1107/s1600576715019500,An improved algorithm for reducing reflectometry data involving divergent beams or non-flat samples,Journal of Applied Crystallography,2015
doc:PUB_ILL:25012,10.1179/0308018815z.000000000120,Structural Biology: A Century-long Journey into an Unseen World,Interdisciplinary Science Reviews,2015
ILL15CZ294,10.1103/physrevc.92.014328,Neutron-proton multiplets in the nucleus 88Br,Physical Review C,2015
ILL15CE176,10.1103/physrevb.91.144404,Magnetic structures in the magnetic phase diagram of Ho2RhIn8,Physical Review B,2015
ILL15DA307,10.1103/physrevlett.114.227203,Dispersionless spin waves and underlying field-induced magnetic order in gadolinium gallium garnet,Physical Review Letters,2015
ILL15DA352,10.1021/acs.biomac.5b00205,Exploring the kinetics of gelation and final architecture of enzymatically cross-linked chitosan/gel,Biomacromolecules,2015
ILL16DA7003,10.1103/revmodphys.87.855,Antiferromagnetic order and spin dynamics in iron-based superconductors,Reviews of Modern Physics,2015
ILL15DA303,10.1103/physrevb.91.214111,High-pressure polymorph of LuFe2O4 with room-temperature antiferromagnetic order,Physical Review B,2015
doc:PUB_ILL:34170,10.1016/j.actamat.2014.12.037,Reactions in a multilayered Si (substrate)/Ta/Mg/Fe/Ta/Pd thin-film structure during annealing and d,Acta Materialia,2015
ILL15DA1135,10.1021/acs.jctc.5b00635,Molecular dynamics simulations and neutron reflectivity as an effective approach to characterize bio,Journal of Chemical Theory and Computation,2015
doc:PUB_ILL:25233,10.1021/acs.jctc.5b00635,Molecular Dynamics Simulations and Neutron Reflectivity as an Effective Approach To Characterize Bio,Journal of Chemical Theory and Computation,2015
ILL15DA279,10.1016/j.ssi.2015.07.019,Study of solvent relaxation of pristine succinonitrile and succinonitrile-salt mixtures using quasie,Solid State Ionics,2015
ILL15DA374,10.1103/physrevb.92.155112,Quantum criticality in the 122 iron pnictide superconductors emerging from orbital-selective Mottnes,Physical Review B,2015
ILL15DA1085,10.1002/cphc.201402758,Rapid precipitation: An alternative to solvent casting for organic solar cells,ChemPhysChem,2015
doc:PUB_ILL:29475,10.1021/acs.biochem.5b00903,Evidence That Compound I Is the Active Species in Both the Hydroxylase and Lyase Steps by Which P450,Biochemistry - Stryer L. - INTERNATIONAL STUDENT EDITION - Freeman W.H. - 1995 - 21.1/112,2015
ILL15DE415,10.1007/s12043-015-1065-x,The EXILL campaign,Pramana - Journal of Physics,2015
ILL15DE7057,10.1016/j.nuclphysbps.2015.06.021,Probing the absolute neutrino mass scale with 163Ho: The HOLMES project,Nuclear and Particle Physics Proceedings,2015
ILL15DE273,10.1016/j.bbamem.2015.06.006,Lipid polyunsaturation determines the extent of membrane structural changes induced by Amphotericin,Biochimica et Biophysica Acta (BBA) - Biomembranes,2015
doc:PUB_ILL:33109,10.1016/j.colsurfb.2015.06.028,Probing the position of resveratrol in lipid bilayers: A neutron reflectivity study,Colloids and Surfaces B: Biointerfaces,2015
ILL15DE285,10.1016/j.colsurfb.2015.06.028,Probing the position of resveratrol in lipid bilayers: A neutron reflectivity study,Colloids and Surfaces B,2015
ILL15DE256,10.1051/epjconf/20158302003,"Proton dynamics in bacterial spores, a neutron scattering investigation",EPJ Web of Conferences,2015
ILL15DE155,10.1039/c4sm02010c,Structural and microscopic relaxations in a colloidal glass,Soft Matter,2015
ILL16DE132,10.1088/1742-6596/663/1/012012,"Low temperature magnetic ordering of the magnetic ionic plastic crystal, choline[FeCl4]",Journal of Physics : Conference Series,2015
doc:PUB_ILL:25142,10.1103/physrevb.91.014419,Updating the phase diagram of the archetypal frustrated magnetGd3Ga5O12,Physical Review B,2015
ILL15DE1058,10.1103/physrevb.91.014419,Updating the phase diagram of the archetypal frustrated magnet Gd3Ga5O12,Physical Review B,2015
ILL15DE7038,10.1051/epjconf/20158303002,A design study of VOR: A versatile optimal resolution chopper spectrometer for the ESS,EPJ Web of Conferences,2015
ILL15DE287,10.1021/acs.inorgchem.5b00879,Magnetodielectric effect in crystals of the noncentrosymmetric CaOFeS at low temperature,Inorganic Chemistry,2015
ILL15DE433,10.1021/jacs.5b07765,Large-scale conformational dynamics control H5N1 influenza polymerase PB2 binding to importin α,Journal of the American Chemical Society,2015
doc:PUB_ILL:28924,10.1088/1367-2630/17/2/023065,Measurement of the spin–rotation coupling in neutron polarimetry,New Journal of Physics,2015
ILL15DE297,10.1103/physreve.92.012307,Transition from hydrodynamic to viscoelastic propagation of sound in molten RbBr,Physical Review E,2015
ILL15DE1131,10.1021/jacs.5b04444,Structural and mechanistic insights into fast lithium-ion conduction in Li4SiO4-Li3PO4 solid electro,Journal of the American Chemical Society,2015
ILL21DE1049,,Investigations into the function of claudin-11 tight junctions in CNS myelin,,2015
ILL15DE386,10.1016/j.bpj.2015.08.012,Claudin-11 tight junctions in myelin are a barrier to diffusion and lack strong adhesive properties,Biophysical Journal,2015
ILL15DE188,10.1021/la504579c,Electrostatic interaction between nonuniformly charged colloids: Experimental and numerical study,Langmuir,2015
ILL15DE310,10.1103/physrevb.92.060410,Pressure-induced commensurate phase with potential giant polarization in YMn2O5,Physical Review B,2015
ILL15DI6065,10.1039/c5ce00326a,Synthesis and structural characterization of six Cu(II)-based coordination polymers using the therma,CrystEngComm,2015
ILL15DI1037,10.1088/0953-8984/27/2/026004,Spin reorientation and magnetic structure of HoCo12B6 ferrimagnetic compound,Journal of Physics Condensed Matter,2015
ILL15DO290,10.1103/physrevb.91.214309,Scattering cross sections of liquid deuterium for ultracold neutrons: Experimental results and a cal,Physical Review B,2015
