id,doi,title,type,source,year
WOS:000360581300001,10.1142/s0217751x15300483,Probing Dark Energy models with neutrons,J,0217-751X | INTERNATIONAL JOURNAL OF MODERN PHYSICS A,2015
WOS:000348340400002,10.1007/s13594-014-0177-2,A review of the biology of calcium phosphate sequestration with special reference to milk,J,1958-5586 | DAIRY SCIENCE & TECHNOLOGY,2015
WOS:000349273000004,10.1021/bm501519u,Small Angle Neutron Scattering Studies on the Internal Structure of Poly(lactide-co-glycolide)-block-poly(ethylene glycol) Nanoparticles as Drug Delivery Vehicles,J,1525-7797 | BIOMACROMOLECULES,2015
WOS:000574781200004,10.1103/physrevlett.125.142701,Neutron Capture on the s-Process Branching Point 171Tm via Time-of-Flight and Activation,J,0031-9007 | PHYSICAL REVIEW LETTERS,2020
WOS:000358167300004,10.1007/s00016-015-0158-8,US Neutron Facility Development in the Last Half-Century: A Cautionary Tale,J,1422-6944 | PHYSICS IN PERSPECTIVE,2015
WOS:000367469400027,10.1039/c5cc06644a,Na+ mobility in sodium strontium silicate fast ion conductors,J,1359-7345 | CHEMICAL COMMUNICATIONS,2015
WOS:000358347500009,10.1039/c5cp02900g,From crystal to glass-like thermal conductivity in crystalline minerals,J,1463-9076 | PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2015
WOS:000367274300031,10.1039/c5ra19665e,A theoretical and experimental study of the crystal structure of H2V3O8,J,nan | RSC ADVANCES,2015
WOS:000357143900110,10.1016/j.jallcom.2015.05.045,Neutron diffraction study of the low-temperature transitions in the SrMo0.9Co0.1O3 oxide,J,0925-8388 | JOURNAL OF ALLOYS AND COMPOUNDS,2015
WOS:000346764800010,10.1515/zkri-2014-1780,Approximations to the full description of stacking disorder in ice I for powder diffraction,J,2194-4946 | ZEITSCHRIFT FUR KRISTALLOGRAPHIE-CRYSTALLINE MATERIALS,2015
WOS:000354255600009,10.1122/1.4917542,"Layering, melting, and recrystallization of a close-packed micellar crystal under steady and large-amplitude oscillatory shear flows",J,0148-6055 | JOURNAL OF RHEOLOGY,2015
WOS:000518496500029,10.1016/j.jcis.2019.12.083,Nanoparticles for two color 19F magnetic resonance imaging: Towards e combined imaging of biodistribution and degradation,J,0021-9797 | JOURNAL OF COLLOID AND INTERFACE SCIENCE,2020
WOS:000353177700053,10.1016/j.ijhydene.2015.01.067,Structural and electrical characterization of the Co-doped Ca2Fe2O5 brownmillerite: Evaluation as SOFC -cathode materials,J,0360-3199 | INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,2015
WOS:000356658200002,10.1103/physrevb.91.220408,Haydeeite: A spin-1/2 kagome ferromagnet,J,2469-9950 | PHYSICAL REVIEW B,2015
WOS:000349005900077,10.1039/c4cp04944f,Hierarchical molecular dynamics of bovine serum albumin in concentrated aqueous solution below and above thermal denaturation,J,1463-9076 | PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2015
WOS:000357626700027,10.1021/acs.jpclett.5b01073,Salt-Induced Universal Slowing Down of the Short-Time Self-Diffusion of a Globular Protein in Aqueous Solution,J,1948-7185 | JOURNAL OF PHYSICAL CHEMISTRY LETTERS,2015
WOS:000361636900017,10.1063/1.4930175,"Enhancement of magnetoresistance and ferromagnetic coupling in the complex perovskites CaCu3(Mn4-xAlx)O12 (x=0, 0.2, 0.4, and 0.6): A neutron diffraction study",J,0021-8979 | JOURNAL OF APPLIED PHYSICS,2015
WOS:000346430100020,10.1038/nmat4136,High H- ionic conductivity in barium hydride,J,1476-1122 | NATURE MATERIALS,2015
WOS:000362493400001,10.1103/physrevb.92.155112,Quantum criticality in the 122 iron pnictide superconductors emerging from orbital-selective Mottness,J,2469-9950 | PHYSICAL REVIEW B,2015
WOS:000358811000031,10.1016/j.ijhydene.2015.05.079,"Neutron Powder Diffraction, x-ray absorption and Mossbauer spectroscopy on Mg2FeH6",J,0360-3199 | INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,2015
WOS:000366588100016,10.1002/pssa.201532243,Interaction between surface structures and threading dislocations during epitaxial diamond growth,J,1862-6300 | PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,2015
WOS:001310903800008,10.1103/physrevlett.133.052702,"Shedding Light on the Origin of 204Pb, the Heaviest s-Process - Only Isotope in the Solar System",J,0031-9007 | PHYSICAL REVIEW LETTERS,2024
WOS:000363365000022,10.1021/acsmacrolett.5b00608,Amphiphilic Polymer Conetworks Based on End-Linked Core-First Star Block Copolymers: Structure Formation with Long-Range Order,J,nan | ACS MACRO LETTERS,2015
WOS:000366084500006,10.1103/physrevb.92.224408,Magnetic structure of the quasi-two-dimensional antiferromagnet NiPS3,J,1098-0121 | PHYSICAL REVIEW B,2015
WOS:000358758200002,10.13036/17533562.56.3.085,A neutron diffraction study of six M2O.M′2O.5B2O3 mixed-modifier di-pentaborate glasses,J,1753-3562 | PHYSICS AND CHEMISTRY OF GLASSES-EUROPEAN JOURNAL OF GLASS SCIENCE AND TECHNOLOGY PART B,2015
WOS:000431723700031,10.1021/acs.jpcc.8b02048,Molecular Dynamics Simulations of Nimodipine Confined in an Ordered Mesoporous Silica Matrix,J,1932-7447 | JOURNAL OF PHYSICAL CHEMISTRY C,2018
WOS:000394289400005,10.1107/s1600576716017660,Modelling of glass-like carbon structure and its experimental verification by neutron and X-ray diffraction,J,1600-5767 | JOURNAL OF APPLIED CRYSTALLOGRAPHY,2017
WOS:000356733700019,10.1016/j.jmps.2015.02.017,Elastic consequences of a single plastic event: Towards a realistic account of structural disorder and shear wave propagation in models of flowing amorphous solids,J,0022-5096 | JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,2015
WOS:000361878000001,10.1038/srep14475,Magnetically-induced ferroelectricity in the (ND4)2[FeCl5(D2O)] molecular compound,J,2045-2322 | SCIENTIFIC REPORTS,2015
WOS:000352286700012,10.1039/c4sm02769h,Fusion of raft-like lipid bilayers operated by a membranotropic domain of the HSV-type I glycoprotein gH occurs through a cholesterol-dependent mechanism,J,1744-683X | SOFT MATTER,2015
WOS:000366157600070,10.1016/j.jmmm.2015.07.018,In-situ neutron investigation of hydrogen absorption kinetics in La(FexSi1-x)13 magnetocaloric alloys for room-temperature refrigeration application,J,0304-8853 | JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,2016
WOS:000354145000008,10.1016/j.jmb.2015.03.010,The Pentameric Nucleoplasmin Fold Is Present in Drosophila FKBP39 and a Large Number of Chromatin-Related Proteins,J,0022-2836 | JOURNAL OF MOLECULAR BIOLOGY,2015
WOS:000349668200035,10.1039/c4dt03112a,Complex magnetic behaviour of Sr2CoNb1-xTixO6 (0 ≤ x ≤ 0.5) as a result of a flexible microstructure,J,1477-9226 | DALTON TRANSACTIONS,2015
WOS:000359016200123,10.1007/978-3-319-09060-3_123,Acoustic Monitoring of Underground Instabilities in an Old Limestone Quarry,C,"nan | ENGINEERING GEOLOGY FOR SOCIETY AND TERRITORY, VOL 6: APPLIED GEOLOGY FOR MAJOR ENGINEERING PROJECTS",2015
WOS:000351765600002,10.1103/physrevb.91.014419,Updating the phase diagram of the archetypal frustrated magnet Gd3Ga5O12,J,2469-9950 | PHYSICAL REVIEW B,2015
WOS:000353249500030,10.1021/acs.jpcc.5b01465,Diffusion of Benzene in the Breathing Metal-Organic Framework MIL-53(Cr): A Joint Experimental-Computational Investigation,J,1932-7447 | JOURNAL OF PHYSICAL CHEMISTRY C,2015
WOS:000355701000015,10.1039/c4dt03849e,"Synthesis, structures and magnetic properties of the dimorphic Mn2CrSbO6 oxide",J,1477-9226 | DALTON TRANSACTIONS,2015
WOS:000352828000062,10.1016/j.jssc.2015.01.020,"Dielectric properties, polymorphism, structural characterisation and phase diagram of Na2Nb4O11-Ag2Nb4O11 solid solutions",J,0022-4596 | JOURNAL OF SOLID STATE CHEMISTRY,2015
WOS:000359678800002,10.1103/physrevc.92.024004,Experimental study of ultracold neutron production in pressurized superfluid helium,J,0556-2813 | PHYSICAL REVIEW C,2015
WOS:000370036300001,10.1088/2053-1591/2/7/075001,Magnetic disorder in TbAl2 nanoparticles,J,2053-1591 | MATERIALS RESEARCH EXPRESS,2015
WOS:000363879700007,10.1002/ejic.201500569,"Crystal and Magnetic Structure of Sr2BIrO6 (B = Sc, Ti, Fe, Co, In) in the Framework of Multivalent Iridium Double Perovskites",J,1434-1948 | EUROPEAN JOURNAL OF INORGANIC CHEMISTRY,2015
WOS:000405811400068,10.1039/c7ra06133a,Dynamics of an amorphous pharmacologically active compound - diazepam: a QENS study combined with molecular dynamics simulations,J,2046-2069 | RSC ADVANCES,2017
WOS:000349664300022,10.1002/chem.201406136,"On Copper(I) Fluorides, the Cuprophilic Interaction, the Preparation of Copper Nitride at Room Temperature, and the Formation Mechanism at Elevated Temperatures",J,0947-6539 | CHEMISTRY-A EUROPEAN JOURNAL,2015
WOS:000460731900013,10.1039/c8cc09845j,Topochemical nitridation of Sr2FeMoO6,J,1359-7345 | CHEMICAL COMMUNICATIONS,2019
WOS:000357435600016,10.1021/acs.langmuir.5b01718,Polarized Neutron Reflectometry of Nickel Corrosion Inhibitors,J,0743-7463 | LANGMUIR,2015
WOS:000353307700052,10.1063/1.4918585,Influence of length and conformation of saccharide head groups on the mechanics of glycolipid membranes: Unraveled by off-specular neutron scattering,J,0021-9606 | JOURNAL OF CHEMICAL PHYSICS,2015
WOS:000361519300108,10.1016/j.jallcom.2015.08.043,Observation of distinct atomic caging in Ce80Ni20 metallic melts,J,0925-8388 | JOURNAL OF ALLOYS AND COMPOUNDS,2015
WOS:000704402600003,10.1016/j.jcis.2021.08.007,Shear-induced nanostructural changes in micelles formed by sugar-based surfactants with varied anomeric configuration,J,0021-9797 | JOURNAL OF COLLOID AND INTERFACE SCIENCE,2022
WOS:000353338800036,10.1039/c4cp05388e,Painting biological low-frequency vibrational modes from small peptides to proteins,J,1463-9076 | PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2015
WOS:000445129300005,10.1038/s41557-018-0113-9,Isoreticular two-dimensional magnetic coordination polymers prepared through pre-synthetic ligand functionalization,J,1755-4330 | NATURE CHEMISTRY,2018
WOS:000354729500052,10.1073/pnas.1422824112,Hydration water mobility is enhanced around tau amyloid fibers,J,0027-8424 | PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2015
WOS:000357272700012,10.1002/pola.27650,Synthesis of partially fluorinated poly(arylene ether sulfone) multiblock copolymers bearing perfluorosulfonic functions,J,0887-624X | JOURNAL OF POLYMER SCIENCE PART A-POLYMER CHEMISTRY,2015
WOS:000754567000016,10.1016/j.molliq.2022.118535,Structural studies of 1H-containing liquids by polarized neutrons: Chemical environment and wavelength dependence of the incoherent background,J,0167-7322 | JOURNAL OF MOLECULAR LIQUIDS,2022
WOS:000360926200036,10.1063/1.4929950,Entropy change of a Ni45.5Co4.5Mn37In13 single crystal studied by scanning calorimetry in high magnetic fields: Field dependence of the magnetocaloric effect,J,0003-6951 | APPLIED PHYSICS LETTERS,2015
WOS:000347615200015,10.1002/chem.201404693,"Insights into the Crystallisation Process from Anhydrous, Hydrated and Solvated Crystal Forms of Diatrizoic Acid",J,0947-6539 | CHEMISTRY-A EUROPEAN JOURNAL,2015
WOS:000836147000001,10.1021/acs.langmuir.2c00230,Topological Dynamics of Micelles Formed by Geometrically Varied Surfactants,J,0743-7463 | LANGMUIR,2022
WOS:000417008200053,10.1016/j.jcis.2017.09.102,Interactions of perfluoroalkyl substances with a phospholipid bilayer studied by neutron reflectometry,J,0021-9797 | JOURNAL OF COLLOID AND INTERFACE SCIENCE,2018
WOS:000357161900002,10.1103/physrevb.92.014201,Neutron diffraction of hydrogenous materials: Measuring incoherent and coherent intensities separately,J,2469-9950 | PHYSICAL REVIEW B,2015
WOS:000429627300012,10.1021/acs.jpcb.7b09612,Hydration and Ion Pairing in Aqueous Mg2+ and Zn2+ Solutions: Force-Field Description Aided by Neutron Scattering Experiments and Ab Initio Molecular Dynamics Simulations,J,1520-6106 | JOURNAL OF PHYSICAL CHEMISTRY B,2018
WOS:000364981300047,10.1021/acs.inorgchem.5b01951,"Magnetic Interactions in the Double Perovskites R2NiMnO6 (R = Tb, Ho, Er, Tm) Investigated by Neutron Diffraction",J,0020-1669 | INORGANIC CHEMISTRY,2015
WOS:000357640900004,10.1103/physreve.92.012307,Transition from hydrodynamic to viscoelastic propagation of sound in molten RbBr,J,1539-3755 | PHYSICAL REVIEW E,2015
WOS:000354946200031,10.1039/c5cp00224a,Structural characterization of eutectic aqueous NaCl solutions under variable temperature and pressure conditions,J,1463-9076 | PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2015
WOS:000357162000001,10.1103/physrevb.92.024101,Crystal structure and phonon softening in Ca3Ir4Sn13,J,1098-0121 | PHYSICAL REVIEW B,2015
WOS:000360324300008,10.1021/acs.biochem.5b00308,Environmental Pollutant Ozone Causes Damage to Lung Surfactant Protein B (SP-B),J,0006-2960 | BIOCHEMISTRY,2015
WOS:000448928700009,10.1103/physreve.98.042417,Kinky DNA in solution: Small-angle-scattering study of a nucleosome positioning sequence,J,2470-0045 | PHYSICAL REVIEW E,2018
WOS:000372564500004,10.1016/j.bbamem.2015.12.019,Neutron reflection study of the interaction of the eukaryotic pore-forming actinoporin equinatoxin II with lipid membranes reveals intermediate states in pore formation,J,0005-2736 | BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,2016
WOS:000353865800035,10.1021/acs.chemmater.5b00361,Comprehensive Investigation of the Na3V2(PO4)2F3-NaV2(PO4)2F3 System by Operando High Resolution Synchrotron X-ray Diffraction,J,0897-4756 | CHEMISTRY OF MATERIALS,2015
WOS:000353176900034,10.1021/ma502246r,Is Osmotic Pressure Relevant in the Mechanical Confinement of a Polymer Brush?,J,0024-9297 | MACROMOLECULES,2015
WOS:000372176500013,10.1039/c6cc00744a,Nitride tuning of lanthanide chromites,J,1359-7345 | CHEMICAL COMMUNICATIONS,2016
WOS:000411863200035,10.1039/c7sm01215b,Highly stretchable hydrogels from complex coacervation of natural polyelectrolytes,J,1744-683X | SOFT MATTER,2017
WOS:000354152500042,10.1016/j.jssc.2015.03.006,"Low temperature synthesis and characterization of Na-M-(O)-F phases with M = Ti, V",J,0022-4596 | JOURNAL OF SOLID STATE CHEMISTRY,2015
WOS:000399686700002,10.1039/c7dt00800g,Topochemical synthesis of cation ordered double perovskite oxynitrides,J,1477-9226 | DALTON TRANSACTIONS,2017
WOS:000351100700002,10.1038/srep08972,How mobile are protons in the structure of dental glass ionomer cements?,J,2045-2322 | SCIENTIFIC REPORTS,2015
WOS:000414773100007,10.1039/c7cp06310e,Long-range magnetic order in the porous metal-organic framework Ni(pyrazine)[Pt(CN)4],J,1463-9076 | PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2017
WOS:000436220700006,10.1016/j.bbagen.2018.05.007,Directional K+ channel insertion in a single phospholipid bilayer: Neutron reflectometry and electrophysiology in the joint exploration of a model membrane functional platform,J,0304-4165 | BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,2018
WOS:000355701000022,10.1039/c4dt03858d,A new LaCo0.71(1)V0.29(1)O2.97(3) perovskite containing vanadium in octahedral sites: synthesis,J,1477-9226 | DALTON TRANSACTIONS,2015
WOS:000361935600027,10.1021/acs.macromol.5b01424,Origin of Small-Angle Scattering from Contrast-Matched Nanoparticles: A Study of Chain and Filler Structure in Polymer Nanocomposites,J,0024-9297 | MACROMOLECULES,2015
WOS:000365460700004,10.1021/acs.jpclett.5b02092,Unusual Dynamics of Concentration Fluctuations in Solutions of Weakly Attractive Globular Proteins,J,1948-7185 | JOURNAL OF PHYSICAL CHEMISTRY LETTERS,2015
WOS:000425494200032,10.1016/j.jallcom.2017.12.333,Phase composition of AlxFeNiCrCo high entropy alloys prepared by sintering and arc-melting methods,J,0925-8388 | JOURNAL OF ALLOYS AND COMPOUNDS,2018
WOS:000419623600018,10.1002/chem.201703140,Microscopic Insights on the Multiferroic Perovskite-Like [CH3NH3][Co(COOH)3] Compound,J,0947-6539 | CHEMISTRY-A EUROPEAN JOURNAL,2018
WOS:000395358600015,10.1021/acs.chemmater.6b04257,Computational Exploration of the Water Concentration Dependence of the Proton Transport in the Porous UiO-66(Zr)-(CO2H)2 Metal-Organic Framework,J,0897-4756 | CHEMISTRY OF MATERIALS,2017
WOS:000353778800033,10.1088/0953-8984/27/19/194131,Correlation of structure and mechanical response in solid-like polymers,J,0953-8984 | JOURNAL OF PHYSICS-CONDENSED MATTER,2015
WOS:000362153400015,10.1016/j.bbamem.2015.05.015,Antimicrobial peptide dendrimer interacts with phosphocholine membranes in a fluidity dependent manner: A neutron reflection study combined with molecular dynamics simulations,J,0005-2736 | BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,2015
WOS:000363915900022,10.1021/acs.jpcc.5b07253,"Diffusion of H2, CO2, and Their Mixtures in the Porous Zirconium Based Metal Organic Framework MIL-140A(Zr): Combination of Quasi-Elastic Neutron Scattering Measurements and Molecular Dynamics Simulations",J,1932-7447 | JOURNAL OF PHYSICAL CHEMISTRY C,2015
WOS:000371394800017,10.1016/j.colsurfa.2015.12.021,Alcohol as tuning parameter in an IL-containing microemulsion: The quaternary system EAN-n-octane-C12E3-1-octanol,J,0927-7757 | COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,2016
WOS:000386107500012,10.1021/acs.jpcb.6b08482,Analysis of the Distribution of Energy Barriers in Amorphous Diazepam on the Basis of Computationally Supported NMR Relaxation Data,J,1520-6106 | JOURNAL OF PHYSICAL CHEMISTRY B,2016
WOS:001190257400001,10.1039/d3cp05928f,Structural characterisation of α-synuclein-membrane interactions and the resulting aggregation using small angle scattering,J,1463-9076 | PHYSICAL CHEMISTRY CHEMICAL PHYSICS,2024
WOS:000362405600031,10.1126/science.aaa5326,Hidden order in spin-liquid Gd3Ga5O12,J,0036-8075 | SCIENCE,2015
WOS:000349738300026,10.1016/j.ijhydene.2014.12.038,Hydrogen adsorption and diffusion in synthetic Na-montmorillonites at high pressures and temperature,J,0360-3199 | INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,2015
WOS:000377309600007,10.1016/j.apcata.2015.10.035,"Steam reforming, partial oxidation and oxidative steam reforming for hydrogen production from ethanol over cerium nickel based oxyhydride catalyst",J,0926-860X | APPLIED CATALYSIS A-GENERAL,2016
WOS:000647274900001,10.1088/1361-6560/abf603,Neutron microtomography to investigate the bone-implant interface-comparison with histological analysis,J,0031-9155 | PHYSICS IN MEDICINE AND BIOLOGY,2021
WOS:000355029100040,10.1016/j.jmatprotec.2015.03.029,Quench induced residual stress prediction in heat treatable 7xxx aluminium alloy thick plates using Gleeble interrupted quench tests,J,0924-0136 | JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,2015
WOS:000364435200045,10.1021/acs.jpcc.5b07321,Oxidation Mechanism of Aluminum Nanopowders,J,1932-7447 | Journal of Physical Chemistry C,2015
WOS:000361294300001,10.1038/srep14116,Beating the amorphous limit in thermal conductivity by superlattices design,J,2045-2322 | SCIENTIFIC REPORTS,2015
WOS:000391781100013,10.1021/acs.biomac.6b01425,Shear Alignment of Bola-Amphiphilic Arginine-Coated Peptide Nanotubes,J,1525-7797 | BIOMACROMOLECULES,2017
WOS:000363512400002,10.1103/physrevb.92.144423,Nd2Sn2O7: An all-in-all-out pyrochlore magnet with no divergence-free field and anomalously slow paramagnetic spin dynamics,J,1098-0121 | PHYSICAL REVIEW B,2015
WOS:000357806400003,10.1103/physrevb.92.014412,Finite-temperature scaling of spin correlations in an experimental realization of the one-dimensional Ising quantum critical point,J,2469-9950 | PHYSICAL REVIEW B,2015
WOS:000505029200006,10.1016/j.nano.2019.102113,PEGylated mucus-penetrating nanocrystals for lung delivery of a new FtsZ inhibitor against Burkholderia cenocepacia infection,J,1549-9634 | NANOMEDICINE-NANOTECHNOLOGY BIOLOGY AND MEDICINE,2020
WOS:000359887700017,10.1016/j.ssi.2015.05.023,Study of sodium manganese fluorides as positive electrodes for Na-ion batteries,J,0167-2738 | SOLID STATE IONICS,2015
WOS:000356000700009,10.1785/0120140228,"Earthquake Ground Motion in the Mygdonian Basin, Greece: The E2VP Verification and Validation of 3D Numerical Simulation up to 4 Hz",J,0037-1106 | BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,2015
WOS:000349814100002,10.1021/mz500754b,Plastic Deformation Mechanisms of Semicrystalline and Amorphous Polymers,J,nan | ACS MACRO LETTERS,2015
WOS:000347685300023,10.1007/s00253-014-6082-z,Biosynthetic preparation of selectively deuterated phosphatidylcholine in genetically modified Escherichia coli,J,0175-7598 | APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,2015
WOS:000431030000011,10.1039/c7nr08493e,Configuration of the magnetosome chain: a natural magnetic nanoarchitecture,J,2040-3364 | NANOSCALE,2018
WOS:000393003900021,10.1016/j.msea.2016.12.012,Influence of thermal treatments on the mechanical properties and the martensitic transformation in Fe-Pd-Mn ferromagnetic shape memory alloy,J,0921-5093 | MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,2017
WOS:000663306900003,10.1103/physrevb.103.235423,Resonant enhancement of grazing incidence neutron scattering for the characterization of thin films,J,2469-9950 | PHYSICAL REVIEW B,2021
WOS:000352229100002,10.1107/s1600576715000941,Mode-crystallography analysis of the crystal structures and the low- and high-temperature phase transitions in Na0.5K0.5NbO3,J,0021-8898 | JOURNAL OF APPLIED CRYSTALLOGRAPHY,2015
WOS:000353177200014,10.1021/la503870b,Interpolymer Complexation: Comparisons of Bulk and Interfacial Structures,J,0743-7463 | LANGMUIR,2015
WOS:000392342900001,10.1038/srep40207,Scale-dependent diffusion anisotropy in nanoporous silicon,J,2045-2322 | SCIENTIFIC REPORTS,2017
WOS:000409470900002,10.1088/1742-6596/746/1/012002,A large-area double rotating-crystal monochromator for time-focusing neutron instruments,C,1742-6588 | VI EUROPEAN CONFERENCE ON NEUTRON SCATTERING (ECNS2015),2016
WOS:000448083300027,10.1021/acs.jpclett.8b01321,Activation Energy of Organic Cation Rotation in CH3NH3PbI3 and CD3NH3PbI3: Quasi-Elastic Neutron Scattering Measurements and First-Principles Analysis Including Nuclear Quantum Effects,J,1948-7185 | JOURNAL OF PHYSICAL CHEMISTRY LETTERS,2018
